	2009.0417713901377
Mário J. Silva	2006.3333333333333
Chao Wang	2009.8333333333333
Mátyás A. Sustik	2010.5
Dacheng Tao	2011.3333333333333
Ming Dong	2008.5714285714287
Alexey Pryakhin	2005.4285714285713
Sarah Filippi	2010.0
Omri Perez	2011.0
Jilian Zhang	2008.6666666666667
Rolf Lakämper	2004.3333333333333
Mutsumi Fukuzaki	2010.0
Cynthia Archer	2001.5
Tatsuto Murayama	2003.5
Tsau Young Lin	2003.5555555555557
Liang-Chieh Chen	2014.3333333333333
Peter I. Cowling	2004.0
Howard J. Karloff	2014.5
Faisal Kamiran	2011.7142857142858
Pietro Vertechi	2014.0
Sahin Cem Geyik	2015.0
Kenneth R. Wood	2003.0
Stark C. Draper	2008.0
Tamara L. Berg	2009.3076923076924
Dakan Wang	2010.0
Marshall F. Tappen	2009.25
Gabriel Berson	2003.0
Krithi Ramamritham	2008.125
Stefan Haufe	2009.5
Alexander Sirotkin	2011.0
Prasad Santhanam	2003.0
Philip Kuryloski	2008.0
R. Uday Kiran	2012.0
Tatdow Pansombut	2012.0
Sukho Lee	2003.0
Chuen-Tsai Sun	2014.0
Mingfang Wu	2005.0
David L. Page	2005.5
Man-Kwan Shan	2006.6666666666667
Lei Chang	2008.3333333333333
Willis Lang	2012.0
Xiaopeng Gao	2014.0
Tan Jin	2016.0
Stuart N. K. Watt	2004.3333333333333
José E. Medina-Pagola	2008.0
Mac Boot	2011.5
Nesrine Gabsi	2010.0
Nathan Parrish	2012.0
Leo Mark	2008.0
Pia Borlund	2011.0
Daryl Pregibon	2004.0
Flavio Junqueira	2008.2
Kevin Karsch	2014.0
Cesar Guerra-Salcedo	2001.0
Stéphane Herbin	2015.0
Benjamin A. Logsdon	2014.0
Sunho Park	2012.0
Nicola Rebagliati	2013.0
Jason Yosinski	2014.3333333333333
Jirí Navrátil 0001	2009.0
Venketaram Ramachandran	2015.0
Yubin Park	2014.0
Chuen-Liang Chen	2012.0
Peter M. Roth	2011.0833333333333
Josh Bongard	2009.5
Jan A. van den Brakel	2012.0
Shakir Mohamed	2012.111111111111
Aixin Sun	2010.3793103448277
Zhongyu Wei	2014.5
Aaron Krowne	2006.0
Lin Liu 0001	2010.0
Ming-Chuan Hung	2001.5
Sang-Choon Kim	2007.0
Dina Said	2013.0
Ergin Elmacioglu	2006.0
Xiaohui Yan	2013.5
Manfred Hauswirth	2004.0
Robert H. Dodier	2002.0
Andrea Mennucci	2006.0
Wei-Hao Chang	2014.0
Oleksii Renov	2015.0
Nagarajan Ranganathan	2010.0
Nga T. Nguyen	2004.0
Marc B. Brown	2008.0
Yiqing Ren	2014.0
Wei-bang Chen	2009.0
Shahin Shahrampour	2013.0
Fabian Nater	2010.0
Ville H. Tuulos	2003.5
Michael Kallweit	2008.0
Ramazan Gokberk Cinbis	2013.0
Olivier Verscheure	2008.2
R. K. Agrawal	2011.75
Kazuki Taniguchi	2015.0
Dirk Bahle	2002.0
Vijay Atluri	2007.0
Michael Franklin	2015.0
Romain Thibaux	2004.0
Tianbing Xu	2008.0
Chulwoo Lee	2015.0
Yupin Yang	2013.0
Ming-Han Lyu	2015.0
Jan Hajic	2005.0
Paolo Ferragina	2010.5714285714287
Jianjun Zhou	2006.0
Siddhartha Chandra	2013.0
M. L. Aldridge	2009.0
Gaurab Basu	2014.0
Brandon M. Smith 0001	2011.4
John William Paisley	2010.2
Naveen Kulkarni	2011.0
Jianmin Zheng	2010.0
Ramin Zabih	2008.5
Dilip Krishnan	2011.8
Perry R. Cook	2010.0
Lei Li	2012.5714285714287
Dieter Merkl	2001.0
Julian Quiroga	2012.0
Marc Schoenauer	2014.0
Yongseok Yoo	2008.0
Hareton Leung	2016.0
Xavier Llorà	2001.0
David Gavaghan	2000.0
Xavier Amatriain	2009.5
Zaki Malik	2015.0
Ana Belén Martínez Torres	2013.0
Bhiksha Raj	2010.5714285714287
Tat-Jen Cham	2006.4285714285713
Rafael A. Calvo	2010.0
Melissa Morabito	2013.6666666666667
Dan Witzner Hansen	2005.75
Yvan G. Leclerc	2000.0
Milorad Krneta	2006.0
Dwi H. Widyantoro	2003.5
Erturk Dogan Kocalar	2001.0
Kyoji Umemura	2003.0
Facundo Bromberg	2007.0
David A. Stanley	2009.0
Buyue Qian	2013.2857142857142
Dietmar Jannach	2010.5
Maria Hadjigeorgieva	2015.0
Stathis Kanterakis	2010.0
Nitin Agarwal	2010.2
Greg Pass	2005.0
Tavi Halperin	2015.0
Yilin Wang	2014.5
Vignesh Veppur Sankaranarayanan	2014.0
Warawut Suphamitmongkol	2011.0
Álvaro Barbero Jiménez	2011.0
Tamás Sarlós	2012.0
Johan-Martijn ten Hove	2013.0
Gaby Hayun	2005.0
Yanfeng Wang	2013.0
Paul Nalos	2005.0
Fanyi Xiao	2014.0
Dror Rawitz	2014.0
Kun Zhou	2013.0
Matthew Boutell	2007.0
Yasumasa Ueda	2003.0
Ming-yu Chen	2009.0
Kenneth Bloom	2006.0
Tatsuya Tsukamoto	2011.0
Ole Winther	2004.5555555555557
Clayton T. Morrison	2011.0
Khuram Shahid	2011.0
Christopher R. Dance	2007.0
Ming Liu	2009.1666666666667
Cesar Fuentes Montesinos	2014.0
Lishuo Zhuang	2013.0
Guiguang Ding	2012.857142857143
Lin Shang	2012.6666666666667
Junichiro Yoshimoto	2009.0
Ping Li	2014.5
Praneeth Vepakomma	2015.0
Ian Spiro	2010.75
Meichun Hsu	2008.5
David Marmaros	2013.0
Renato F. Salas-Moreno	2013.0
Kwang Su Jung	2006.0
Sang-Hwa Chung	2007.0
Dennis Kergl	2015.0
Mohamed Bouguessa	2009.0
Na Xu	2009.0
Arno Siebes	2008.75
Yasuaki Nakamura	2003.0
Mirwaes Wahabzada	2012.0
Shayan Modiri Assari	2014.5
Ryen W. White	2010.5384615384614
Khalid El-Arini	2011.0
Elaine Ribeiro de Faria	2015.0
Ting Zhang	2014.5
Masaaki Mochimaru	2009.0
Michael Werman	2007.2222222222222
Constantine Caramanis	2011.2666666666667
Dan F. M. Goodman	2010.0
Mahipal Jadeja	2015.0
George Karypis	2006.264705882353
Will Y. Zou	2011.5
Bin Liu 0005	2006.0
Carla Groenland	2015.0
Chien-Hsiang Chen	2006.0
Petteri Kaski	2010.6666666666667
Panna Felsen	2015.0
Daniel Olsher	2012.0
Oussama El-Rawas	2007.0
Aaron M. Smalter	2009.0
Jing Xiao	2009.0833333333333
Thea Turner	2008.0
Micah Hodosh	2013.0
Ata Kaban	2013.0
Asako Yamamuro	2009.0
Uwe Leo Korn	2015.0
Chu Kiong Loo	2005.0
Yair Moshe	2012.0
Jean Choi	2015.0
Lean Yu	2006.0
A. P. Sarath Chandar	2014.0
Amitabha Bagchi	2006.0
Biliana Kaneva	2008.0
Mohamed E. Hussein	2009.5
Mario Boley	2010.8
Necmiye Ozay	2009.0
Chengwen Liu	2001.0
Fabio Aiolli	2006.0
Mitja Lustrek	2015.0
Namita Mittal	2013.0
Fa Shao	2014.0
Parry Husbands	2002.5
Bilge Karaçali	2006.0
Michael Pacer	2011.0
Victor Bittorf	2013.0
Scott E. Crouter	2014.0
Mohd Saberi Mohamad	2013.0
Dana Cobzas	2009.5
Jouni K. Seppänen	2003.6666666666667
Vincent Ng	2010.0
N. R. Achuthan	2008.0
David E. Tyler	2001.0
Cewu Lu	2014.142857142857
Henrik Boström	2010.0
Laura Astola	2008.0
Tao Shi	2008.0
Maxime Cauchoix	2011.0
Peng Liu	2011.6666666666667
Bart Vanrumste	2014.0
Davide Badoni	2007.0
Nisheeth Shrivastava	2010.0
Xiaoping Zhou	2016.0
Saurabh Singh	2015.0
Tingting Liang	2014.5
Arianna Gallo	2008.0
Stefan Agne	2014.0
Paul C. Miller	2015.0
Miyuki Nakano	2015.0
Ichiroh Kanaya	2006.0
Guang Chen	2012.6666666666667
Mark D. Pendrith	2002.0
Daniel Stefankovic	2010.0
Xiaoxue Zhao	2013.5
Santanu Kolay	2013.0
Hong Yan	2009.0
Leman Akoglu	2012.2307692307693
Yuan Cheng	2010.0
Xiaofei Yang	2014.0
Mike Klaas	2006.0
Viorel Milea	2014.0
Maik Anderka	2011.0
Stanley M. Bileschi	2006.0
Camélia Constantin	2008.0
Guo-Qing Wei	2001.0
Hyungdong Lee	2009.0
Gee Wah Ng	2008.0
Ronda Venkateswarlu	2005.0
Hanna Pasula	2002.0
Clifford J. Weinstein	2005.5
Vivek Sharma	2015.0
Wei Zeng	2011.8
Swarup Chandra	2014.0
Iain Murray	2009.8333333333333
Changshui Zhang	2007.7446808510638
Prem Kumar Kalra	2014.0
Carsten Stoll	2009.75
Wolfgang Gaul	2001.0
Ling Wang	2007.75
Arnau Ramisa	2011.0
Luming Zhang	2013.4
Kazuma Shigenari	2001.0
Beijun Ruan	2005.0
Peter Wackersreuther	2006.0
Robert Weibel	2002.0
Richa Tiwari	2009.0
Gaurav Sharma 0002	2002.0
Atanaz Babashzadeh	2013.0
Curtis E. Dyreson	2006.0
Alessandro Toigo	2010.0
Abhishek Nagar	2011.0
Anita Komlodi	2003.0
Hai Leong Chieu	2008.4285714285713
Krisztian Buza	2011.0
Dancheng Li	2015.0
Serhat Selcuk Bucak	2010.3333333333333
Barnan Das	2012.75
Franziska Biegler	2012.0
Matthew Antone	2012.5
ByungIn Yoo	2015.0
Tim Kraska	2014.0
Tomás Skopal	2012.0
Masato Takami	2014.0
Patrick Ross	2014.0
Shree K. Nayar	2003.48
Daniel Walter	2015.0
Saksham Singhal	2015.0
Shashi K. Gadia	2007.0
Sakrapee Paisitkriangkrai	2012.75
Giuseppe Arturi	2008.0
Guo-Zheng Li	2006.5
David M. Steier	2006.0
Matthew King	2009.0
Eduardo Rodrigues Gomes	2009.0
V. M. Megler	2015.0
Frédéric Cao	2005.5
Peter Auer	2006.3636363636363
Albert Diosi	2007.0
Yixian Yang	2011.0
Yashar Moshfeghi	2011.5714285714287
Jordi Pont-Tuset	2013.5
Alina Kuznetsova	2014.5
Prashant Choudhari	2002.0
Takuya Narihira	2015.0
Marco Winkler	2014.0
Shaorui Jiang	2011.0
Mossaab Bagdouri	2014.0
Leo Dorst	2002.0
Aram Galstyan	2013.0
Alexander C. Berg	2009.1875
Deepak Roy Chittajallu	2009.5
Doug Nychka	2001.0
Peter R. Lewis	2012.0
Lisa Hellerstein	2005.0
Yi Wang	2012.8333333333333
Shin Yoshimura	2008.0
Mojun Zhu	2013.0
Sudip Saha	2015.0
Mi-Yen Yeh	2010.090909090909
Zhaojun Wang	2013.0
Gregory Ditzler	2013.0
Gennaro Costagliola	2009.0
Haijie Gu	2012.0
Lingbo Li	2011.5
Hassan Issa	2014.0
Vanessa Evers	2009.0
Andrew Remsen	2008.0
Adam Clark	2011.0
Yumao Lu	2007.6666666666667
M. L. Aravind	2008.0
Chao-Kai Chiang	2013.0
Sankari Dhandapani	2010.0
Nicolas Flammarion	2015.0
Hugo Larochelle	2010.9375
Ingemar Johansson Cox	2015.0
Mohammed Ghesmoune	2015.0
Luca Zaniboni	2004.6666666666667
Huong Thanh Le	2011.0
Michael R. Lyu	2008.7428571428572
Ivan Sikiric	2010.0
James Orwell	2013.0
Qiang Zhu 0002	2010.4
Yuefei Sui	2001.0
Surong Wang	2005.0
Johanna M. Zumer	2006.0
Takao Miura	2012.0
Yueheng Sun	2008.0
Ziheng Wang	2014.0
Cipta Herwana	2010.0
Jacob Goldenberg	2007.0
Ben Blum	2007.0
Anand R. Atreya	2011.0
Jennifer Wortman Vaughan	2011.0
Aaron Wetzler	2015.0
Nilesh N. Dalvi	2012.0
Lek-Heng Lim	2015.0
Andrew G. Barto	2005.3809523809523
Kyung-Soon Lee	2011.0
Chaveevan Pechsiri	2011.0
Konrad Tollmar	2004.0
William W. Hargrove	2015.0
David J. Wu	2013.0
Daphne Koller	2007.0
Shenlong Wang	2013.25
Wei-Lin Chiang	2015.0
Sylvie Jeannin	2003.0
P. Tzavelis	2000.0
Chowdhury Farhan Ahmed	2009.6
Noriyuki Kushiro	2014.0
Abhradeep Guha Thakurta	2013.5
Étienne Roquain	2007.0
Yang Mo Yoo	2006.0
Zelda Mariet	2015.0
Adam Roberts	2007.0
Chao Xu 0006	2011.25
Denver Dash	2002.0
Rangarajan Aravind	2015.0
Marc Joliveau	2007.0
Garrison W. Cottrell	2005.4
Touseef Ahmad Qureshi	2014.0
Jianming Yong	2007.0
Yuxin Su	2015.0
Leonid Novak	2009.0
Alice X. Zheng	2007.8
Shuai Han	2012.0
Klemens Böhm	2013.2857142857142
Daniel Kurz	2010.5
Christopher Rhodes	2014.0
Yun Zhang	2011.0
Susan T. Dumais	2008.3191489361702
Marco Grzegorczyk	2009.0
Uwe Krüger	2013.0
Wilhelm Gruissem	2004.0
Jason C. HandUber	2013.0
William J. Huggins	2013.0
Enrique Amigó	2013.6666666666667
Wouter Duivesteijn	2012.857142857143
Lubao Wang	2014.0
Shuchin Aeron	2014.0
Mohammad Farhan Husain	2011.0
Ji Dai	2015.0
Kevin A. Archie	2000.0
Vladimir Cherkassky	2005.6666666666667
Peter Boyen	2009.0
Cecilia Mascolo	2012.0
Sebastian Stober	2014.0
Zhu Chen	2012.0
Patrice Latinne	2001.0
Sören Laue	2013.25
Alireza Bagheri Garakani	2015.0
Juyong Zhang	2012.0
Luyao Teng	2014.0
Jiang Chen	2007.5
Sauravjyoti Sarmah	2011.0
Balázs Szörényi	2010.2857142857142
Taichi Muraki	2006.0
S. Misbah Deen	2003.0
Emily Hand	2012.0
Liangda Li	2015.0
Aleksandrs Slivkins	2012.0
Alejandro Nieto	2012.0
Dingyi Han	2010.142857142857
Miguel Costa	2014.0
Rahul Swaminathan	2003.0
Jacob Andreas	2014.0
Jianbin Jiao	2010.0
Aren Jansen	2015.0
Ching-Huang Yun	2001.6666666666667
Johanna I. Westbrook	2003.0
Radu Horaud	2008.4444444444443
Tuan Anh Ngo	2014.0
Lin Li	2008.0
Robert F. Cohen	2002.0
Nicholas Joel Woodward	2012.0
Nikolai Buzikashvili	2006.0
Arun Shankar Iyer	2011.0
Satoru Iwata	2010.0
Hsin-Min Lu	2010.0
Cyril Decleir	2000.0
Himanshu Arora	2006.75
Alessio Mazzanti	2003.0
Pierre Hanna	2009.0
Yuanhua Lv	2011.4285714285713
J. Aliperti	2005.0
Gloria Zen	2011.0
Leonard E. White	2009.0
Jinman Kang	2003.0
Maheedhar Kolla	2007.5
Bryan C. Catanzaro	2010.5
Tie Liu	2007.0
SangDuck Lee	2007.0
Jianting Zhang	2006.0
Pinar Duygulu	2007.1666666666667
Abhimanyu Das	2012.75
Michael Skinner	2009.0
Taeseon Yoon	2014.0
Christos Falusos	2001.0
Kaizhong Zhang	2002.0
Suzanne Little	2008.5
Songtao Guo	2008.6666666666667
Tobias Gindele	2013.0
Adler J. Perotte	2010.0
Mara Sorella	2015.0
Sudeep Pillai	2015.0
Ioannis G. Kevrekidis	2005.0
Brooks King-Casas	2008.0
Jingming Dong	2015.0
Iraklis Varlamis	2004.0
Kyros Kutulakos	2015.0
Yao Lu	2011.0
Ofir Pele	2013.0
François Denis	2007.5
Hanen Brahmi	2012.0
Yu-Hsiang Fu	2014.0
Jong Taek Lee	2011.0
Curt M. Breneman	2008.0
Janusz Konrad	2013.0
Alicia Troncoso	2015.0
Vanja Josifovski	2011.0
Kailash Sethuraman	2010.0
Peinan Luo	2016.0
Karol Kurach	2014.0
Mohammad Ali Bagheri	2013.5
Yuichi Nagata	2010.0
Matthias Grossglauser	2015.0
Chih Lai	2004.0
Koichi Sasakawa	2006.0
Yang Cong	2010.0
David Inouye	2014.0
Wei Zhang 0043	2012.0
Venu Govindaraju	2009.5294117647059
Shahriar Shariat	2015.0
David Threadgill	2007.5
Emily L. Denton	2014.0
Xiaoyu Sunny Guo	2014.0
Markus Speth	2013.0
Oliver Kutter	2009.0
Yosuke Nonaka	2012.0
Thanh-Tung Nguyen	2015.0
Hong-Wei Hao	2013.0
Domenico Saccà	2005.0
Yuh-Jyh Hu	2010.6666666666667
Anna-Lan Huang	2008.5
Debora Donato	2007.8333333333333
Chun-Chi Chen	2009.0
Delin Chu	2013.0
Ahmet Erhan Nergiz	2009.0
Jimmy Lin	2013.8333333333333
Xibin Zhu	2014.0
Randi Cabezas	2014.0
Joel Coffman	2014.0
Svebor Karaman	2015.0
Arun Iyengar	2005.0
Leto Peel	2013.0
Cecilia Magdalena Procopiuc	2002.0
Richard M. Shiffrin	2002.0
Jian Pei	2009.4927536231885
Salvador Olmos	2007.0
Jordi Pagès	2006.0
Robert Ikeda	2011.0
Vijil Chenthamarakshan	2009.0
Christopher Kanan	2012.5
Fazli Can	2007.875
Nikos Komodakis	2010.6153846153845
Qiying Wu	2008.0
Peretz Shoval	2000.0
Andrew Ziegler	2012.0
Moumen T. Ahmed	2000.5
Andrea Lagorio	2006.0
Anuj Kapuria	2004.0
Gal Levi	2013.0
Yun Zheng	2010.3333333333333
Congcong Li	2012.4
Won-Sook Lee	2015.0
Samuel Bushra	2004.0
Chiou-Shann Fuh	2006.0
Eric Price	2014.5
M. Wittman	2006.0
Ahmed Tashrif Kamal	2013.0
Chi-Jie Lu	2010.0
Hemant D. Tagare	2005.25
Jiangang Zhang	2006.0
Benjamin B. Kimia	2007.3333333333333
Xingyu Wang	2011.0
Rebecca Ong	2010.0
Ja-Yeon Jeong	2007.5
Nikodem Majer	2010.0
Paulo C. F. de Oliveira	2003.0
Mingcheng Qu	2008.0
Hal R. Varian	2012.0
Dean Teffer	2011.0
Longyin Wen	2014.25
Luca Del Pero	2012.75
Hans Chalupsky	2005.5
Simon Stachniak	2014.0
Fong-Sheng Huang	2014.0
Jan Benda	2013.0
Weiwei Feng	2015.0
David J. Miller	2015.0
Junyu Xuan	2015.0
Arvind K. Tripathi	2007.5
Long Xia	2015.0
Chu-Xu Zhang	2015.0
Xiang-Sun Zhang	2006.6666666666667
Yao Li	2013.3333333333333
Jennifer Listgarten	2005.0
Sujata Banerjee	2001.0
Il Kon Kim	2004.0
Chaoyi Li	2013.0
Youngmoo Kim	2007.0
Fangfang Li	2015.0
Jie Yang 0001	2004.75
Gregor Engels	2015.0
Sungzoon Cho	2005.6666666666667
Sheng Gao	2010.4
Seth J. Teller	2004.1666666666667
Zhengying Chen	2014.0
Ryan Adams	2015.0
Aswin Raghavan	2013.0
David H. Goldberg	2002.0
Jinhui Xu	2011.0
Sebastian Mika	2001.1666666666667
Manolis Koubarakis	2005.4285714285713
Shi-Qiang Yang	2007.5
Luis Perdigoto	2009.0
Adetokunbo Makanju	2012.0
Andrew B. Nobel	2005.6666666666667
Amit Singhal	2003.8
Duy Vu	2009.0
Berin Martini	2012.5
Ilmério Silva	2000.0
Hung-Ching Chen	2007.0
Siyu Zhang	2014.0
Hidenori Tsukahara	2008.0
S. Park	2006.0
R. Paredes	2008.0
Hung-Min Sun	2013.0
Aharon Birnbaum	2012.0
Sangun Park	2012.0
Tim K. Cocx	2006.0
M. Salman Asif	2015.0
Jianguo Lee	2005.0
S. Krishnan	2007.0
Anthony Goldbloom	2010.0
Maximilian Nickel	2012.5
André Anjos	2013.0
Han Xiao 0002	2012.6666666666667
Isabel F. Cruz	2016.0
Rubao Li	2006.0
Yi-Hao Kao	2009.0
Kaushik Chakrabarti	2004.0
Byoungkwon An	2014.0
Alain Pajor	2005.0
Jun Takamatsu	2009.0
José Henrique Brito	2013.0
Abhijnan Chakraborty	2015.0
Andrew James McMinn	2014.0
Marcel Campen	2013.0
George Samaras	2000.5
Zhiding Yu	2012.3333333333333
Claus Neubauer	2007.5
Deji Chen	2016.0
Ethan Meyers	2006.0
Christopher G. Atkeson	2003.6666666666667
Wassim Ayadi	2007.0
Wen-Huang Cheng	2011.0
Wei Hu	2006.5
Silvan Siep	2011.0
Jana Kosecka	2007.8333333333333
Giambattista Amati	2010.0
Nadia Magnenat-Thalmann	2012.5
Babak Shakibi	2013.0
Xufa Wang	2011.0
Viet Ha-Thuc	2010.0
S. K. Michael Wong	2001.0
Zakaria Maamar	2005.0
Jan Luts	2015.0
Travis Dick	2014.0
Marcin Gajek	2002.0
James W. Davis	2007.7
Guanggang Geng	2011.0
Dragomir Yankov	2008.2857142857142
James Black	2004.0
Sam Kwong	2005.0
Ion Muslea	2002.0
Tai-Liang Chen	2007.0
Yongtao Ma	2013.0
Shukuan Lin	2013.0
Deguang Kong	2013.4444444444443
Jessie Barry	2015.0
Dirk Habich	2008.0
Stephen Becker	2013.25
Jing Wan	2012.0
Edgar Kalkowski	2014.0
Aydin Goze Polat	2013.0
Ehsan Shahrian	2012.5
Yuanyuan Zhou	2008.0
Bertram Drost	2010.0
Heng Wang	2011.0
Keeley A. Crockett	2006.0
Hongmin Cai	2013.0
Jie Feng	2012.0
Bilge Mutlu	2011.0
David J. C. MacKay	2006.5
Segev Wasserkrug	2010.0
Kent A. Kiehl	2010.0
Vinay D. Shet	2009.2
Changsheng Xu	2012.4
Vilaythong Southavilay	2010.0
Makoto Iwayama	2006.8333333333333
Ivana Podnar	2007.0
Yoshikazu Shima	2005.0
Raghav Subbarao	2006.4
Surender Reddy Yerva	2012.0
Seng-cho Timothy Chou	2007.0
Steve Harenberg	2014.0
Paul Nuyujukian	2011.0
Vasin Punyakanok	2000.0
Sandra Ebert	2012.5
Ryan Villamil	2012.0
Jie Chen 0004	2006.75
Stefan Schmidt 0001	2011.0
Scott Morris	2010.5
George Chen	2004.0
Noam Goldberg	2010.0
Xinyan Lu	2013.0
Sylvain Robbiano	2012.6666666666667
Borja Balle	2013.0
Milan Vojnovic	2012.3333333333333
Serge Wich	2014.0
Sanghamitra Bandyopadhyay	2009.3333333333333
Shiv Bhanu	2009.0
Yuanhao Chen	2008.2222222222222
Andrzej Truski	2013.0
Duan Tran	2009.0
Sheng-Wei Huang	2014.0
Chunqiang Tang	2006.0
Xuejie Qin	2003.5
Andrea Tironi	2004.0
Lizhi Wang	2015.0
Vinay Bettadapura	2013.0
Jeonghee Yi	2003.0
Florian Luisier	2014.0
Tolga Tasdizen	2007.0
Eugen Popovici	2007.0
Tom Peterka	2005.0
Ha Hong	2013.0
Aleksandra Lomakina	2014.0
Sen Qin	2006.0
Sheng-Wen Shih	2012.0
Grigorios Tzortzis	2012.0
Charmgil Hong	2014.5
Carl Yuheng Ren	2013.0
Georgios Passalis	2006.25
Ali Bahramisharif	2011.0
Wenbin Du	2015.0
Subrata Rakshit	2001.0
Patrick Dickinson	2010.5
Tsutomu Endo	2008.0
Danda Pani Paudel	2014.5
Michael R. DeWeese	2012.5
Thomas Petsche	2000.0
Nicola Fanizzi	2007.0
Nadeem Saeed	2006.0
Florian Buron	2005.0
Paolo Biondi	2011.0
Xiaobai Sun	2013.0
Zainab Zaidi	2010.0
Shaojun Wang	2007.6
Feng Wang	2013.4
Weiyue Huang	2015.0
Jeffrey T. Duda	2008.0
Khaled Shaban	2014.0
Hexiang Xu	2007.0
Eben Gay	2010.0
Padhraic Smyth	2005.7727272727273
Felix A. Wichmann	2005.0
Valeriy Avanesov	2014.0
Zechao Li	2014.3333333333333
Zhe Fan	2015.0
Jin Zhang	2014.5
Zhiwei Zhang	2014.3333333333333
Toby Walsh	2000.0
Yong Zhang	2010.0
Georg Krempl	2011.0
Derrick J. Parkhurst	2005.0
Jun Sun 0003	2006.0
Yu Kong	2012.5
Soma Biswas	2009.4285714285713
Liang Wan	2013.0
Kuang-Yu Chang	2011.0
Fabrizio Lamberti	2009.0
V. S. Subrahmanian	2008.6363636363637
Moritz Grosse-Wentrup	2008.6666666666667
Quanming Yao	2015.0
Elisabeth Georgii	2006.0
Aditya V. Nori	2013.0
Xiaoyang Li	2008.0
Cosmin Safta	2009.0
Qian Zhang	2014.75
Jürgen Krämer	2007.5
Dave Fuhry	2010.0
Ann B. Lee	2000.0
Bernhard Geiger	2000.0
Yunchang Guo	2015.0
Eric Reiman	2010.0
Ruey-Cheng Chen	2008.5
Evangelia Christakopoulou	2014.0
Qi Qiang	2006.0
Geoffrey E. Hinton	2007.1764705882354
Richard Hull	2015.0
Juzhen Dong	2002.0
Haizhou Ai	2008.0
Herbert Bay	2005.0
Zhuoliang Kang	2011.0
Hamid Izadinia	2014.0
Jing Yang	2013.0
Yuichi Mukai	2015.0
Sahar Akram	2014.0
Palivela Kowshik	2008.0
Raz Kupferman	2010.0
Xianming Liu	2014.0
Liyun Li	2009.0
Fatima Silva Leite	2013.0
Yan Xiong	2008.0
Bin Cui	2009.7
Soujanya Vadapalli	2008.0
Érick Alphonse	2002.0
Yacine Jernite	2014.0
Sen Song	2014.0
Daniel M. Steinberg	2014.0
Saharon Rosset	2005.764705882353
Xia Ning	2010.8
Muhammad Asiful Islam	2010.0
Humberto Mossri de Almeida	2007.5
Joseph J. Pfeiffer III	2014.3333333333333
Neil Zhenqiang Gong	2015.0
Ting Chen	2009.0
Roger Nkambou	2011.0
Archisman Rudra	2001.0
Witold Litwin	2002.0
Wei Xu	2006.9473684210527
Ivan Eggel	2015.0
Bo Qian	2007.0
David Newman	2009.0
Kuk-Jin Yoon	2010.1666666666667
Eric Wiewiora	2005.75
Leeda Demetropoulou	2013.0
Chien-Ming Huang 0002	2005.0
Madhu Chetty	2008.5
Jinwen Guo	2011.0
J. Tan	2010.0
Matthias Sebastian Treder	2011.0
Kenji Shoji	2001.0
Jihun Yu	2015.0
Sang Jeong Lee	2009.0
Yijun Liu	2008.5
Jingxin Nie	2010.0
Matthew Bodenhamer	2009.0
Amílcar Soares	2007.0
Shane Griffith	2013.0
Jaswinder Pal Singh	2002.0
André Schiper	2004.0
Elaheh Pourabbas	2015.0
Urs Muller	2005.0
Luke O'Connor	2014.0
Wojciech Indyk	2012.0
I. Gomez	2010.0
Michel Beigbeder	2006.0
Mikel Rodriguez	2013.0
Siqi Nie	2014.0
Fabio Piano	2010.0
Shuang Qiu	2014.5
Hynek Bakstein	2001.0
Mayur Naik	2008.0
Dominique Gay	2010.6666666666667
Paola Virga	2003.0
Mustafa Jarrar	2012.0
Nele Dexters	2007.0
E. Yoder	2005.0
Ioannis Hatzilygeroudis	2010.0
Ning Xu	2006.75
Jiabing Wang	2012.3333333333333
Jiacai Ni	2014.0
Zoltan Kato	2013.0
Andrew Kane	2014.0
Theoharis Theoharis	2006.25
Shohei Hidaka	2010.0
Xiaoqiang Luo	2012.0
Zheng Sun	2003.5
Trilce Estrada	2014.0
Kai Ye	2014.0
Cong Liu	2013.0
John Wright	2010.3076923076924
Guowang Mu	2010.0
Nguyen Tuan Duc	2015.0
Xilin Chen	2010.48
Jingzhe Zhang	2013.0
Tanja Schultz	2008.0
Yuncai Liu	2009.2
Dave Shepard	2015.0
Charles-François Vincent Latchoumane	2011.0
Henning Biermann	2000.0
P. Deepa Shenoy	2003.0
Yingqin Gu	2012.0
Brendan Kitts	2012.25
Patrick Bouthemy	2008.0
Branislav Kisacanin	2005.0
Qingshan Liu	2009.909090909091
Cenk Kaynak	2000.0
Gabriella Contardo	2015.0
Jihem Rezgui	2005.0
Hung Son Nguyen	2007.5
Aziz S. Doumith	2013.0
Joel C. Miller	2001.0
Michaela Götz	2012.0
Annalisa Appice	2006.0
Kazutaka Furuse	2011.0
Karsten Lambers	2015.0
Thilo Boehm	2013.0
Chenglong Bao	2013.0
Santhosh Kodipaka	2007.0
Yoram Singer	2004.5777777777778
Jialin Zhang	2013.0
Efthimis N. Efthimiadis	2006.3333333333333
Sungheon Park	2015.0
Jana Kosecká	2003.0
C. A. Johnson	2003.0
Felix Hieber	2014.0
Toshiyuki Ishii	2008.0
Salma Essafi	2008.0
Robert K. France	2001.0
Yong Jae Lee	2011.875
Ishani Chakraborty	2013.0
Do-Dat Tran	2015.0
Kouzou Ohara	2007.8
Degang Chen	2011.0
Franck Dufrenois	2007.0
Doru-Cristian Balcan	2005.0
