	2009.0417713901377
Antonietta Lanza	2008.0
Tanmay Basu	2012.0
Makoto Miwa	2015.0
Ruchaneewan Susomboon	2006.0
Serafim Batzoglou	2004.5
Byron Dom	2005.5
Ezekiel S. Bhasker	2007.0
Babak Matinfar	2014.0
Chunpeng Gao	2014.0
Bo Zong	2014.0
Martin C. Stumpe	2015.0
Jiseong Park	2012.0
Moo K. Chung	2010.8333333333333
Parisa Rashidi	2010.3333333333333
Adnan Yazici	2008.0
Davoud Moulavi	2013.5
Trong Dung Nguyen	2000.5
Sujitha Martin	2014.0
Chunxiao Xing	2014.0
Franziska Meier	2014.0
Levent Ertöz	2003.0
Boonserm Kijsirikul	2006.0
Xiaoxin Yin	2005.6666666666667
Sivakumar Ravada	2002.0
Dongfeng Han	2011.0
Weimin Tong	2006.0
Junghoo Cho	2010.875
Kuan-Ching Li	2007.0
Yingen Xiong	2010.0
Natalia Sidorova	2011.0
Akihiro Inokuchi	2006.875
Zaiqing Nie	2007.8
Joachim Giesen	2011.25
Hoang Trinh	2011.0
Arridhana Ciptadi	2010.0
Ramanathan Sowdhamini	2010.6666666666667
Diane Oyen	2012.0
Matteo Pedone	2011.0
Cheng-Tzu Wang	2009.0
Robert J. Durrant	2013.0
Chavdar Papazov	2015.0
Wei Li 0044	2013.0
Razvan Stefan Bot	2004.0
Erkki Oja	2011.0
Alex K. Susemihl	2012.5
Steven M. Chase	2009.0
Florian Krebs	2002.0
Massimo Piccardi	2008.75
Yasuhiro Fujiwara	2013.6666666666667
S. Shankar Sastry	2011.0
Ali Mustafa Qamar	2008.5
David Jiménez	2012.0
Abdelrehim H. Ahmed	2006.5
Daniel J. McDonald	2013.0
Md. Hijbul Alam	2012.0
Cristina Conde	2005.0
Mohamed A. Elgharib	2015.0
Sriram Jayaram	2004.0
Henrik C. Schønheyder	2000.0
Ian A. Kash	2015.0
Zhen Liao	2012.5
Niranjan A. Subrahmanya	2012.6666666666667
Oded Netzer	2007.0
Jaap Kamps	2011.125
András Serény	2015.0
Nicolas Carrez	2006.0
Barry T. Thomas	2001.0
David Woudenberg	2015.0
Pavankumar Murali	2015.0
Constantine Papageorgiou	2003.0
